"","Wells","Signal","Condition","Rep","L_Concentration","D_Concentration","Plate_ID","Exp_Date","TF_booster"
"52","G09",648,"Blank",1,"0","0","BIC_luc","2017_09_29","NO"
"53","G10",777,"Blank",2,"0","0","BIC_luc","2017_09_29","NO"
"54","G11",890,"Blank",3,"0","0","BIC_luc","2017_09_29","NO"
"55","G12",811,"Blank",4,"0","0","BIC_luc","2017_09_29","NO"
"56","C01",41245,"D",1,"0uM","10uM","ENZ_luc","2017_10_13E","NO"
"57","C10",251,"NO treat",1,"0uM","0uM","ENZ_luc","2017_10_13E","NO"
"58","C11",1184520,"Post Cntrl",1,"0","0","ENZ_luc","2017_10_13E","NO"
"59","C12",8381,"Neg Cntrl",1,"0","0","ENZ_luc","2017_10_13E","NO"
"60","D01",12931,"D",2,"0uM","10uM","ENZ_luc","2017_10_13E","NO"
"61","D10",1315,"NO treat",2,"0uM","0uM","ENZ_luc","2017_10_13E","NO"
"62","D11",1926146,"Post Cntrl",2,"0","0","ENZ_luc","2017_10_13E","NO"
"63","D12",11487,"Neg Cntrl",2,"0","0","ENZ_luc","2017_10_13E","NO"
"64","E01",5658,"D",3,"0uM","10uM","ENZ_luc","2017_10_13E","NO"
"65","E10",2370,"NO treat",3,"0uM","0uM","ENZ_luc","2017_10_13E","NO"
"66","E11",1523141,"Post Cntrl",3,"0","0","ENZ_luc","2017_10_13E","NO"
"67","E12",10847,"Neg Cntrl",3,"0","0","ENZ_luc","2017_10_13E","NO"
"68","F01",5974,"D",4,"0uM","10uM","ENZ_luc","2017_10_13E","NO"
"69","F10",14132,"NO treat",4,"0uM","0uM","ENZ_luc","2017_10_13E","NO"
"70","F11",1024962,"Post Cntrl",4,"0","0","ENZ_luc","2017_10_13E","NO"
"71","F12",10102,"Neg Cntrl",4,"0","0","ENZ_luc","2017_10_13E","NO"
"72","G01",17418,"D+L",1,"1nM","10uM","ENZ_luc","2017_10_13E","NO"
"73","G02",28657,"D+L",2,"1nM","10uM","ENZ_luc","2017_10_13E","NO"
"74","G03",63515,"D+L",3,"1nM","10uM","ENZ_luc","2017_10_13E","NO"
"75","G04",44391,"D+L",4,"1nM","10uM","ENZ_luc","2017_10_13E","NO"
"76","G05",139982,"L",1,"1nM","0uM","ENZ_luc","2017_10_13E","NO"
"77","G06",221479,"L",2,"1nM","0uM","ENZ_luc","2017_10_13E","NO"
"78","G07",121107,"L",3,"1nM","0uM","ENZ_luc","2017_10_13E","NO"
"79","G08",216752,"L",4,"1nM","0uM","ENZ_luc","2017_10_13E","NO"
"80","G10",2406,"Blank",1,"0","0","ENZ_luc","2017_10_13E","NO"
"81","G11",3511,"Blank",2,"0","0","ENZ_luc","2017_10_13E","NO"
"82","G12",2496,"Blank",3,"0","0","ENZ_luc","2017_10_13E","NO"
"83","A08",82794,"L",1,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"84","B08",78227,"L",2,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"85","C01",5478,"D",1,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"86","C07",9140,"D+L",1,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"87","C08",49769,"L",3,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"88","C09",4641,"NO treat",1,"0uM","0uM","ENZ_luc","2017_12_22","NO"
"89","D01",3107,"D",2,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"90","D07",5564,"D+L",2,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"91","D08",48383,"L",4,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"92","D09",4216,"NO treat",2,"0uM","0uM","ENZ_luc","2017_12_22","NO"
"93","D10",418,"Blank",1,"0","0","ENZ_luc","2017_12_22","NO"
"94","D11",6354,"Neg Cntrl",1,"0","0","ENZ_luc","2017_12_22","NO"
"95","D12",788431,"Post Cntrl",1,"0","0","ENZ_luc","2017_12_22","NO"
"96","E01",3153,"D",3,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"97","E07",5002,"D+L",3,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"98","E08",48417,"L",5,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"99","E09",4185,"NO treat",3,"0uM","0uM","ENZ_luc","2017_12_22","NO"
"100","E10",381,"Blank",2,"0","0","ENZ_luc","2017_12_22","NO"
"101","E11",6888,"Neg Cntrl",2,"0","0","ENZ_luc","2017_12_22","NO"
"102","E12",765947,"Post Cntrl",2,"0","0","ENZ_luc","2017_12_22","NO"
"103","F01",3294,"D",4,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"104","F07",5155,"D+L",4,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"105","F08",50428,"L",6,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"106","F09",4262,"NO treat",4,"0uM","0uM","ENZ_luc","2017_12_22","NO"
"107","F10",882,"Blank",3,"0","0","ENZ_luc","2017_12_22","NO"
"108","F11",5982,"Neg Cntrl",3,"0","0","ENZ_luc","2017_12_22","NO"
"109","F12",623642,"Post Cntrl",3,"0","0","ENZ_luc","2017_12_22","NO"
"110","G01",3559,"D",5,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"111","G07",4713,"D+L",5,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"112","G08",49015,"L",7,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"113","G09",4109,"NO treat",5,"0uM","0uM","ENZ_luc","2017_12_22","NO"
"114","G10",373,"Blank",4,"0","0","ENZ_luc","2017_12_22","NO"
"115","G11",5477,"Neg Cntrl",4,"0","0","ENZ_luc","2017_12_22","NO"
"116","G12",620001,"Post Cntrl",4,"0","0","ENZ_luc","2017_12_22","NO"
"117","H01",3533,"D",6,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"118","H07",5996,"D+L",6,"1nM","10uM","ENZ_luc","2017_12_22","NO"
"119","H08",45499,"L",8,"1nM","0uM","ENZ_luc","2017_12_22","NO"
"120","H09",4261,"NO treat",6,"0uM","0uM","ENZ_luc","2017_12_22","NO"
