Wells,Signal,Condition,Rep,L_Concentration,L_Units,D_Concentration,D_Units,Plate_ID,Exp_Date,TF_booster
F07,8323,L,4,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
F10,4713,NO treat,4,0,uM,0,uM,BIC_luc,2017_09_29,FALSE
C01,78227,D,1,0,uM,10,uM,ENZ_luc,2017_10_13E,FALSE
C10,13043,NO treat,1,0,uM,0,uM,ENZ_luc,2017_10_13E,FALSE
D01,42904,D,2,0,uM,10,uM,ENZ_luc,2017_10_13E,FALSE
D10,23948,NO treat,2,0,uM,0,uM,ENZ_luc,2017_10_13E,FALSE
E01,48813,D,3,0,uM,10,uM,ENZ_luc,2017_10_13E,FALSE
E10,63515,NO treat,3,0,uM,0,uM,ENZ_luc,2017_10_13E,FALSE
F01,334529,D,4,0,uM,10,uM,ENZ_luc,2017_10_13E,FALSE
F10,46368,NO treat,4,0,uM,0,uM,ENZ_luc,2017_10_13E,FALSE
G01,4262,D+L,1,1,nM,10,uM,ENZ_luc,2017_10_13E,FALSE
G02,48383,D+L,2,1,nM,10,uM,ENZ_luc,2017_10_13E,FALSE
G03,4109,D+L,3,1,nM,10,uM,ENZ_luc,2017_10_13E,FALSE
G04,35018,D+L,4,1,nM,10,uM,ENZ_luc,2017_10_13E,FALSE
G05,251,L,1,1,nM,0,uM,ENZ_luc,2017_10_13E,FALSE
G06,5564,L,2,1,nM,0,uM,ENZ_luc,2017_10_13E,FALSE
G07,41671,L,3,1,nM,0,uM,ENZ_luc,2017_10_13E,FALSE
G08,11164,L,4,1,nM,0,uM,ENZ_luc,2017_10_13E,FALSE
A08,242546,L,1,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
B08,34134,L,2,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
C01,49769,D,1,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
C07,646,D+L,1,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
C08,304161,L,3,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
C09,349042,NO treat,1,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
D01,317552,D,2,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
D07,121107,D+L,2,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
D08,1315,L,4,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
D09,12636,NO treat,2,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
E01,49015,D,3,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
E07,139982,D+L,3,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
E08,284332,L,5,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
E09,14132,NO treat,3,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
F01,2370,D,4,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
F07,3153,D+L,4,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
F08,28657,L,6,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
F09,8823,NO treat,4,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
G01,10557,D,5,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
G07,5586,D+L,5,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
G08,221479,L,7,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
G09,12931,NO treat,5,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
H01,5202,D,6,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
H07,4185,D+L,6,1,nM,10,uM,ENZ_luc,2017_12_22,FALSE
H08,5478,L,8,1,nM,0,uM,ENZ_luc,2017_12_22,FALSE
H09,3294,NO treat,6,0,uM,0,uM,ENZ_luc,2017_12_22,FALSE
